1,398,Free for all,2022-05-03 20:00:00,ADT (GMT-3),36,,2022-05-24 18:30:00,2022-05-24 18:30:00
2,1619,Pro tournament,2022-05-06 19:00:00,GMT,8,,2022-05-24 18:30:00,2022-05-24 18:30:00
3,958,Mini golf,2022-05-17 17:30:00,YT (GMT-7),12,,2022-05-24 18:30:00,2022-05-24 18:30:00
4,184,Gamers anonymous,2022-05-03 21:00:00,PDT (GMT-7),8,,2022-05-24 18:30:00,2022-05-24 18:30:00
5,372,Free tournament,2022-05-21 9:00:00,HAST (GMT-10),16,,2022-05-24 18:30:00,2022-05-24 18:30:00
6,1722,Amateur tournament,2022-05-27 19:00:00,CST (GMT-5),2,,2022-05-24 18:30:00,2022-05-24 18:30:00
7,1307,Pity party,2022-05-30 16:45:00,MDT (GMT-6),4,,2022-05-24 18:30:00,2022-05-24 18:30:00
8,1791,Beers and battles,2022-05-01 13:30:00,PDT (GMT-4),16,,2022-05-24 18:30:00,2022-05-24 18:30:00
9,413,Meetup,2022-05-19 17:00:00,ADT (GMT-8),36,,2022-05-24 18:30:00,2022-05-24 18:30:00
10,1232,Lan party,2022-05-14 15:15:00,EST (GMT-4),12,,2022-05-24 18:30:00,2022-05-24 18:30:00
