508,1848
10,1312
1567,362
309,455
446,2416
1660,38
1112,553
1583,1959
1990,2341
1766,876
1358,1161
1287,1193
1921,1385
899,1910
398,1136
1619,734
958,1002
184,1406
372,2107
1722,1656
1307,1718
1791,426
413,792
1232,1702
1546,1604
154,2315
1485,540
1398,1749
49,2294
444,820
909,282
340,2091
1566,1895
1848,1744
1522,1274
1957,1078
1079,1164
496,1803
509,2499
867,1981
1708,452
816,1425
1127,1355
1945,2304
407,454
505,816
1206,36
126,772
1615,1060
1146,433
1393,1028
975,501
1694,187
1175,2308
1514,1948
1539,494
635,1685
1128,683
1832,2199
1324,1096
1379,1147
487,196
1392,1973
826,1688
1418,419
1258,778
39,367
1939,28
1304,2167
1931,2237
307,831
464,2026
7,2233
406,1245
636,600
1981,2462
1702,529
484,173
718,2296
1973,47
1548,1130
1990,255
102,851
1560,1788
1593,1132
1762,2030
734,1715
1804,565
1652,1319
391,941
304,2429
817,2336
368,1632
138,1853
1171,1743
412,687
893,936
148,132
807,1341
1076,838
324,1783
1360,1383
534,610
1325,1335
452,2263
465,1181
981,1281
344,986
136,2133
1229,2057
1297,1376
579,1408
93,448
1186,908
1978,1448
616,611
252,682
1302,1168
759,871
662,949
1362,1017
110,234
1370,1182
146,1489
991,210
1317,861
1970,1547
932,1375
1091,1384
1497,697
122,889
1865,1515
1205,1037
1264,905
792,2049
619,2350
566,888
518,648
1971,2183
341,916
1134,484
663,2329
1222,1000
1068,793
1744,787
1251,1058
477,2149
590,2370
271,2192
797,1478
1613,343
1396,1518
1467,1498
541,1001
1326,2228
56,701
1618,1046
1727,483
419,1553
449,859
1642,980
435,1774
62,496
588,627
1914,1089
1350,2074
999,1508
664,1521
29,2446
1322,2040
736,883
1466,95
490,2124
14,635
1718,1121
608,1804
592,1268
308,2108
1553,781
1177,414
245,1706
1928,1748
890,839
1764,624
896,1661
460,2009
1328,2191
1892,2404
671,1871
1882,1304
270,1066
485,2375
144,1216
1288,885
1131,923
1476,1534
383,835
602,1736
851,2426
1099,2479
337,591
1423,638
1087,791
1830,27
1173,155
1760,995
1876,1153
1905,1188
311,2201
1715,49
37,1745
426,1955
728,1284
791,858
1685,1477
1699,2421
989,975
1662,1662
1034,1780
206,1507
375,837
266,913
1379,269
682,2147
536,953
1588,1991
1243,700
1013,1035
1212,1768
328,1666
333,1633
268,22
572,1273
95,1740
1688,1767
180,760
348,2362
454,969
1380,2171
861,1878
1645,1674
1968,247
1118,236
648,878
1863,909
1412,1222
437,184
385,1747
357,1108
898,601
819,2097
490,1282
494,1543
668,1930
1208,1525
686,649
1408,546
1062,1300
937,1953
360,1413
97,23
916,238
1947,350
1960,417
1444,56
803,1187
1778,780
630,1450
298,1394
1364,330
646,2047
15,1880
1199,707
1471,172
44,877
189,1790
704,1370
1104,1872
1611,739
1519,383
1777,1690
595,1586
1845,735
985,317
644,881
75,2010
1247,2333
1402,2327
941,603
1812,1850
904,2142
1891,1492
992,2302
132,2324
545,1668
356,134
737,2276
993,518
1493,1048
1626,2323
1786,101
1092,568
1558,411
1245,2062
1656,2075
459,2449
521,666
538,1817
686,504
308,1149
684,2280
1239,2299
1879,802
1371,1924
1828,1856
1202,762
694,2190
1148,405
879,2252
1343,1201
1959,785
742,2226
638,921
1683,1928
223,1399
1176,117
1951,177
1703,2022
75,664
1577,681
392,341
1054,1267
578,527
223,2293
1166,1006
1450,1505
626,1412
1815,614
1183,336
681,1454
786,1927
1908,305
1954,2043
1529,1115
336,1206
1933,822
1073,1447
1678,202
65,1786
215,415
658,2427
9,1763
1818,2369
769,979
206,1554
111,1409
875,391
1143,626
1421,457
63,1531
429,2139
18,1548
112,782
1333,1163
1243,430
370,2001
699,869
652,2367
1391,286
1750,1572
32,239
1277,898
1505,663
676,425
577,543
952,1605
792,288
1833,965
1565,2150
1244,1239
1103,1795
1890,402
118,1036
750,41
1064,1705
1275,1766
1347,1484
1860,2463
1553,1471
8,1653
895,237
409,1325
195,1901
1246,1921
1795,1879
1858,1742
1007,1598
527,2361
520,1244
1623,631
1814,1793
870,1303
1081,63
788,1359
1109,650
1753,971
1763,1792
1630,893
493,435
58,486
710,249
85,845
1677,955
1024,567
447,669
81,1186
549,1104
458,963
1332,1909
461,1316
1599,1289
1230,11
721,555
283,1724
1481,142
413,2141
1677,480
1718,549
1878,43
516,311
1712,1185
1223,2098
123,2415
1658,18
1872,1512
799,136
964,2300
86,2130
1924,1799
320,1275
1840,1126
500,596
751,1087
1966,164
230,558
43,392
1195,1698
79,925
376,944
31,2151
1321,381
901,2444
782,1800
301,647
1720,890
303,1620
720,2387
1985,2500
1712,353
1633,1892
323,1299
740,1852
1038,767
794,82
1938,2285
300,315
877,1143
86,51
1163,942
1582,1491
425,1906
1184,804
1639,848
600,1593
1606,339
364,1971
892,1591
1123,2326
1357,1099
645,297
1757,613
1303,2410
1502,1199
849,1366
219,1310
197,612
342,717
883,847
73,2050
1856,1023
1723,580
749,1787
1572,834
1096,2227
1384,2374
1854,2445
1150,1905
1513,1101
1072,2223
1187,1838
137,2437
1743,2275
1482,1631
604,1855
514,321
1283,1194
491,2392
1231,1772
212,1851
306,1165
1570,413
1801,1445
1139,1863
261,1696
1374,2284
908,1079
774,1004
1080,1306
47,2113
264,844
822,1647
971,1179
874,917
1872,464
365,1841
1908,1077
1776,1916
828,1885
1142,1069
1151,1565
703,2477
970,2138
625,872
181,1295
1922,130
1829,856
1086,1031
1689,1322
1050,1372
217,2195
983,1680
1473,1599
760,520
603,657
996,222
1135,656
1295,740
1807,416
204,2241
253,1342
1318,1519
1013,1517
938,1022
1850,2498
443,1286
888,1637
1907,106
1489,15
1741,2173
842,1249
1262,2260
1157,2120
1675,1643
1731,2239
1159,526
984,1820
1886,934
519,2105
1526,168
1600,386
1969,1893
1315,2104
969,906
647,2244
629,1311
890,1124
240,628
1075,79
1416,758
651,252
1182,617
799,395
1634,1544
1843,461
986,1942
821,2417
860,1005
1638,338
1329,2188
1365,1542
858,1120
1921,1313
581,531
208,939
1850,1226
294,2393
74,1451
483,867
1036,2460
481,2473
143,799
1654,1220
690,1210
5,5
836,1532
1540,1356
715,131
1819,171
445,1671
1780,1400
403,675
711,973
157,1501
820,1333
1405,298
718,892
331,1032
1158,1527
318,1061
110,2165
662,1062
839,2345
1901,692
273,2210
27,267
1869,1154
82,2161
264,1967
1585,2131
1738,660
1709,147
1964,2439
554,482
1873,1929
1306,1922
236,418
1201,1984
997,1020
60,1024
548,2029
1868,983
1762,2340
1742,2273
639,1320
1670,2405
865,2450
38,879
910,2321
469,1107
1875,370
1399,811
1184,1200
1410,293
1101,654
563,261
1016,2103
985,754
1289,2313
596,2461
1308,2295
1841,2436
1717,460
1066,12
55,2248
303,1589
1680,465
1110,2470
406,96
1602,285
1137,2454
547,945
725,1717
1599,55
1442,1152
564,1172
687,658
915,150
1621,1983
183,1729
1219,798
1483,2088
1611,2349
622,1975
349,1055
434,140
1366,2129
1394,1933
1824,2162
926,599
1857,2126
1632,2471
1906,588
198,766
34,1085
1983,1381
91,1435
708,829
478,1573
1132,1797
937,947
571,268
741,593
48,66
1308,828
1587,1830
1432,468
726,1427
1848,1877
1729,1224
450,1944
1044,1619
387,1464
1121,1831
1977,2291
351,1196
373,1330
474,1894
632,510
1562,1642
1218,946
311,2332
384,151
1233,569
644,860
1647,1042
657,522
1033,863
324,1157
815,2383
286,2038
701,2007
1314,356
683,623
1012,576
1189,2218
829,1997
1441,1205
1282,1202
1490,602
909,1536
540,1436
1775,1021
1352,1321
1382,2438
524,2347
1560,1923
695,1116
1032,1641
1122,1664
507,251
1438,271
330,1601
1631,1833
313,2135
1337,1610
705,1712
898,495
1419,1349
1446,977
1141,87
1515,2048
1197,1482
1806,1441
1056,30
2001,1522
1836,1962
930,706
1268,1437
1006,266
973,1276
418,929
1598,432
122,1365
28,592
1659,1509
1357,229
1793,1232
640,2259
956,2101
853,121
869,1552
929,957
586,1493
679,1248
90,680
1803,385
823,410
1083,1362
1230,474
1326,67
1838,1475
463,1746
634,1535
1330,1873
806,2090
235,1634
272,1713
805,2419
1138,2110
354,2042
1273,48
943,852
1492,1678
692,207
1840,1254
628,1059
1117,726
46,1259
814,761
400,1390
1338,2159
1165,2305
522,1044
385,1648
958,598
1437,219
1805,1700
1319,1693
1556,1679
706,896
1663,2486
321,37
190,2464
501,215
1395,1837
988,1084
1026,2384
614,718
948,1646
1149,1285
1635,984
213,485
1469,1416
486,340
1222,684
1637,1809
304,193
277,10
1045,1961
312,422
528,571
2,976
1682,1294
773,1278
87,962
1584,1109
546,2169
1573,1332
