1,8,398,Free for all,2022-05-03 20:00:00,36,,2022-05-24 18:30:00,2022-05-24 18:30:00
2,97,1619,Pro tournament,2022-05-06 19:00:00,8,,2022-05-24 18:30:00,2022-05-24 18:30:00
3,106,958,Mini golf,2022-05-17 17:30:00,12,,2022-05-24 18:30:00,2022-05-24 18:30:00
4,163,184,Gamers anonymous,2022-05-03 21:00:00,8,,2022-05-24 18:30:00,2022-05-24 18:30:00
5,106,372,Free tournament,2022-05-21 9:00:00,16,,2022-05-24 18:30:00,2022-05-24 18:30:00
6,47,1722,Amateur tournament,2022-05-27 19:00:00,2,,2022-05-24 18:30:00,2022-05-24 18:30:00
7,135,1307,Pity party,2022-05-30 16:45:00,4,,2022-05-24 18:30:00,2022-05-24 18:30:00
8,163,1791,Beers and battles,2022-05-01 13:30:00,16,,2022-05-24 18:30:00,2022-05-24 18:30:00
9,13,413,Meetup,2022-05-19 17:00:00,36,,2022-05-24 18:30:00,2022-05-24 18:30:00
10,82,1232,Lan party,2022-05-14 15:15:00,12,,2022-05-24 18:30:00,2022-05-24 18:30:00
