1,1,1,,Hello to User 2,2022-05-25 15:00:00
2,1,2,,Hello back,2022-05-25 15:01:00
3,1,1,,What do you think?,2022-05-25 15:02:00
4,1,2,3,I think nothing,2022-05-25 15:03:00
5,1,1,4,I can tell,2022-05-25 15:04:00
6,1,1,4,You still there?,2022-05-25 15:05:00
7,2,7,,What's up guys,2022-05-20 12:00:00
8,2,8,7,User 8 here,2022-05-20 12:01:00
9,2,9,7,User 9 here,2022-05-20 12:02:00
10,2,10,7,User 10 here,2022-05-20 12:03:00
11,2,11,7,User 11 here,2022-05-20 12:04:00
12,2,12,7,User 12 here,2022-05-20 12:05:00
13,2,7,8,"Confirmed, User 8",2022-05-20 12:06:01
14,2,7,9,"Confirmed, User 9",2022-05-20 12:06:02
15,2,7,10,"Confirmed, User 10",2022-05-20 12:06:03
16,2,7,11,"Confirmed, User 11",2022-05-20 12:06:04
17,2,7,12,"Confirmed, User 12",2022-05-20 12:06:05
